Item#,Parent#,Lot,Dim1,Dim2,SKU,Release date,Customer orders,Units shipped,Shipped COGS,On Hand @FC,Sellable on hand cost,Unsellable on hand units,Vendor units received,Open PO Qty,Unfilled customer ordered units,Units returned by customers,MFG model number,Replenishment code / Item availability,Inventory turns,Style number,Color,Color count,Ordered product sales,Revenue
B007EZ18LE,B00O971DVA,CT10BK,LN,42,CT10BK-LN-42,2/28/12,127,127,2962.62,0,0,2,86,15,1,10,CT10,Planned Replenishment (PR),22.58,CT10-Black-42,Black,17,3613.17,3613.78
B0079M828E,B00O7PC2H8,1430WH,30,33,1430WH-30-33,2/15/12,1382,1382,4756.4,507,1576.77,1,1773,,2,21,1430,In Season (IS),17.3,1430-White-30x33,White,7,10132.68,10143.81
B00AQ4FU9G,B00O97199Q,AB12BK,RG,L,AB12BK-RG-L,1/9/13,544,549,6533.1,28,333.2,1,494,,1,34,AB12BK,Planned Replenishment (PR),45.61,AB12BK-Black-Large(40-44),Black,1,9179.77,9279.63
B00O7PDW0Y,B00O7PBM6A,2020WH,34,34,2020WH-34-34,11/5/14,183,184,2012.96,39,426.66,1,159,,,16,2020,In Season (IS),7.98,2020-White-34x34,White,6,3681.76,3718.57
B007EZ120G,B00O971DU6,CP40NV,RG,3XL,CP40NV-RG-3XL,2/28/12,134,135,3119.55,9,207.27,1,118,7,,14,CP40,Planned Replenishment (PR),22.51,CP40-Navy-Regular 3X-Large,Navy,4,4221.33,4253.05
B007EYYBVO,B00O971DVA,CT10EB,RG,44,CT10EB-RG-44,2/28/12,130,131,2855.8,37,806.6,1,136,,1,20,CT10,Planned Replenishment (PR),15.37,CT10-Electric Blue-Regular 44,Electric Blue,17,3857.67,3916.81
B007FVV7NG,B00O971TWI,KT30CH,RG,42,KT30CH-RG-42,3/1/12,130,130,2661.98,9,182.43,1,134,8,,6,KT30,Planned Replenishment (PR),52.37,KT30-Charcoal-Regular 42,Charcoal,5,3582.44,3582.44
B00O4WCD5K,B00O4UYXC8,PT2ANV,36,32,PT2ANV-36-32,12/19/14,93,93,2017.17,16,347.04,1,92,,,9,PT2A,Planned Replenishment (PR),20.6,PT2A-Navy-36x32,Navy,6,2675.71,2675.71
B007EYZKT6,B00O971DVA,CT10WH,RG,36,CT10WH-RG-36,2/28/12,61,60,1308,26,566.8,1,77,,1,11,CT10,Planned Replenishment (PR),7.04,CT10-White-Regular 36,White,17,1890.32,1860.65
B007FH0SMQ,B00O7PC7LO,HP60RD,RG,L,HP60RD-RG-L,2/29/12,44,43,216.72,2,10.08,1,37,4,1,1,HP60,In Season (IS),17.15,HP60-Red-Regular/Large,Red,7,349.97,342.24
