Lot,Lot Description,Subcategory,MFG number
0400WH,400 - White Uniforms Jackets,4650,400
0401WH,401P - White Food Service,4317,401P
0402WH,402 - White Uniforms Jackets,4650,402
0403WH,403 - White Uniforms Jackets,4650,403
0404WH,404 - White Uniforms Jackets,4650,404
0406WH,406 - White Outerwear,4575,406
0411WH,411 - White Uniforms Jackets,4650,411
0413WH,413 - White Uniforms Jackets,4650,413
0414WH,414 - White Uniforms Jackets,4650,414
0415WH,415 - White Uniforms Jackets,4650,415
0416WH,416 - White Outerwear,4575,416
0420WH,420 - White Uniforms Jackets,4650,420
0421WH,421 - White Uniforms Jackets,4650,421
0423WH,423 - White Uniforms Jackets,4650,423
0425BK,425 - Black Uniforms Jackets,4650,425
0427BK,427 - Black Uniforms Jackets,4650,427
0440WH,440 - White Uniforms Jackets,4650,440
1360BK,1360 - Black Uniforms Tops,4640,1360
1360NV,1360 - Navy Uniforms Tops,4640,1360
1360RB,1360 - Royal Blue Uniforms Tops,4640,1360
1360RD,1360 - Red Uniforms Tops,4640,1360
1430BK,1430 - Black Accessories,4670,1430
1430DR,1430 - Dark Red Accessories,4670,1430
1430HG,1430 - Hunter Green Accessories,4670,1430
1430NV,1430 - Navy Accessories,4670,1430
1430RB,1430 - Royal Blue Accessories,4670,1430
1430RD,1430 - Red Accessories,4670,1430
1430WH,1430 - White Accessories,4670,1430
1K00BU,1K00BU - Burgundy/Black Woven Shirts,4555,1K00BU
1K00PT,1K00PT - Putty/Navy Woven Shirts,4555,1K00PT
1K00ST,1K00ST - Storm/Black Woven Shirts,4555,1K00ST
1P60BK,1P60 - Black Woven Shirts,4555,1P60
1P60NV,1P60 - Navy Woven Shirts,4555,1P60
1S00BK,1S00 - Black Woven Shirts,4555,1S00
1S00BU,1S00 - Burgundy Woven Shirts,4555,1S00
1S00HU,1S00 - Hunter Woven Shirts,4555,1S00
1S00NV,1S00 - Navy Woven Shirts,4555,1S00
1S00TN,1S00 - Tan Woven Shirts,4555,1S00
1T11BK,1T11 - Black Industrial,4315,1T11
1T11BU,1T11 - Burgundy Industrial,4315,1T11
1T11EM,1T11 - Emerald Industrial,4315,1T11
1T11KH,1T11 - Khaki Industrial,4315,1T11
1T11NV,1T11 - Navy Industrial,4315,1T11
1T11RB,1T11 - Royal Blue Industrial,4315,1T11
1T11RD,1T11 - Red Industrial,4315,1T11
1T11ST,1T11P - Stone Industrial,4315,1T11P
1T11WH,1T11 - White Industrial,4315,1T11
1T21BK,1T21 - Black Industrial,4315,1T21
1T21BU,1T21 - Burgundy Industrial,4315,1T21
1T21EM,1T21 - Emerald Industrial,4315,1T21
1T21KH,1T21 - Khaki Industrial,4315,1T21
1T21NV,1T21 - Navy Industrial,4315,1T21
1T21RB,1T21 - Royal Blue Industrial,4315,1T21
1T21RD,1T21 - Red Industrial,4315,1T21
1T21ST,1T21 - Stone Industrial,4315,1T21
1T21WH,1T21P - White Industrial,4315,1T21P
2020BK,2020 - Black Uniforms Bottoms,4620,2020
2020BW,2020 - Black/white Check Uniforms Bottoms,4620,2020
2020WH,2020 - White Uniforms Bottoms,4620,2020
2030BW,2030 - Black/White Check Uniforms Bottoms,4620,2030
4004WH,4004 - White Outerwear,4575,4004
4006WH,4006 - White Outerwear,4575,4006
4010WH,4010 - White Outerwear,4575,4010
4016WH,4016 - White Outerwear,4575,4016
4020WH,4020 - White Uniforms Jackets,4650,4020
5010WH,5010 - White Uniforms Tops,4640,5010
5020BK,5020 - Black Uniforms Tops,4640,5020
5020WH,5020 - White Uniforms Tops,4640,5020
5025WH,5025 - White Uniforms Tops,4640,5025
5028WH,5028 - White Uniforms Tops,4640,5028
5035BK,5035 - Black Uniforms Tops,4640,5035
5035WH,5035 - White Uniforms Tops,4640,5035
5050WH,5050 - White Uniforms Tops,4640,5050
5080LB,5080 - Light Blue Outerwear,4575,5080
5080WH,5080 - White Outerwear,4575,5080
5090WH,5090 - White Outerwear,4575,5090
5210WH,5210 - White Medical,4310,5210
5360BK,5360 - Black Uniforms Bottoms,4620,5360
5360BW,5360 - Black/White Check Uniforms Bottoms,4620,5360
5700WH,5700 - White Outerwear,4575,5700
9K03BU,9K03P - Burgundy Hospitality,4318,9K03P
9K03PT,9K03P - Putty Hospitality,4318,9K03P
9K03ST,9K03P - Storm Hospitality,4318,9K03P
9P01BK,9P01P - Black Hospitality,4318,9P01P
9P01BU,9P01P - Burgundy Hospitality,4318,9P01P
9P01EM,9P01P - Emerald Hospitality,4318,9P01P
9P01NV,9P01 - Navy Hospitality,4318,9P01
9S01BK,9S01P - Black Hospitality,4318,9S01P
9S01BU,9S01P - Burgundy Hospitality,4318,9S01P
9S01HU,9S01 - Hunter Green Hospitality,4318,9S01
9S01NV,9S01 - Navy Hospitality,4318,9S01
9S01TN,9S01P - Tan Hospitality,4318,9S01P
9S03BK,9S03P - Black Hospitality,4318,9S03P
9S03BU,9S03 - Burgundy Hospitality,4318,9S03
9S03HU,9S03 - Hunter Green Hospitality,4318,9S03
9S03NV,9S03P - Navy Hospitality,4318,9S03P
9S03TN,9S03P - Tan Hospitality,4318,9S03P
9S05BK,9S05 - Black Hospitality,4318,9S05
9S05HU,9S05 - Hunter Green Hospitality,4318,9S05
9S05NV,9S05P - Navy Hospitality,4318,9S05P
AB12BK,AB12BK - Black Accessories,4598,AB12BK
AB14BK,AB14BK - Black Accessories,4598,AB14BK
BD10DN,BD10 - Denim Bibs & Overalls,4530,BD10
BD10ED,BD10 - Denim With Yellow/Silver Visibility Trim Bibs & Overalls,4530,BD10
BD30BD,BD30 - Brown Duck Bibs & Overalls,4530,BD30
BD30ND,BD30 - Navy Duck Bibs & Overalls,4530,BD30
BLC8NV,BLC8NV LN XXL - Navy Flame Resistant Bottoms,4540,BLC8NV LN XXL
BLC8RB,BLC8RB RG XL - Royal Blue Flame Resistant Bottoms,4540,BLC8RB RG XL
BLF8BD,BLF8BD LN XXL - Brown Duck Flame Resistant Bottoms,4540,BLF8BD LN XXL
BLF8NV,BLF8NV LN XXL - Navy Duck Flame Resistant Bottoms,4540,BLF8NV LN XXL
BLN4BD,BLN4BD RG M - Brown Duck Flame Resistant Bottoms,4540,BLN4BD RG M
BNF8RB,BNF8RB RG XXL - Royal Blue Flame Resistant Bottoms,4540,BNF8RB RG XXL
BNN2NV,BNN2NV LN XXL - Navy Flame Resistant Bottoms,4540,BNN2NV LN XXL
BXN4YE,BXN4YE RG S - Yellow/Green Flame Resistant Bottoms,4540,BXN4YE RG S
CC14HB,CC14 - Herringbone Coveralls,4525,CC14
CC14NV,CC14 - Navy Coveralls,4525,CC14
CC14OR,CC14 - Orange Coveralls,4525,CC14
CC14PB,CC14 - Postman Blue Coveralls,4525,CC14
CC14WH,CC14 - Bleached White Coveralls,4525,CC14
CC16HB,CC16 - Fisher Herringbone Coveralls,4525,CC16
CC16NV,CC16 - Navy Coveralls,4525,CC16
CC16PB,CC16 - Postman Blue Coveralls,4525,CC16
CC16WH,CC16 - White Coveralls,4525,CC16
CC18GY,CC18GY - Grey Coveralls,4525,CC18GY
CC18NV,CC18NV - Navy Coveralls,4525,CC18NV
CC18RD,CC18RD - Red Coveralls,4525,CC18RD
